categoria,metonimia,w
reportage,253.461402486402,2275
editorial,266.66209346209246,2234
reviews,249.01867299367268,2320
religion,266.0598665223664,2332
skills & hobbies,263.1010350760349,2257
popular lore,245.87616550116482,2264
belles lettres,275.37426046176046,2311
miscellaneous,295.08179802223873,2360
learned,246.0817654567651,2182
general fiction,258.49646187146146,2325
mistery and detective fiction,259.7061299811289,2428
science fiction,248.55044955044897,2364
adventure and western fiction,250.64708347208267,2380
romance and love story,251.74584582084495,2320
