categoria,metafora,metonimia,w,metacategoria,metafora_n,metonimia_n
reportage,739005.545665808,273.2918525918524,2217,non-fiction,0.0,1.0
editorial,839392.6586708553,252.962795537795,2230,non-fiction,0.2698409327855993,0.5254914818746954
reviews,897166.8448193009,267.3208680208676,2356,non-fiction,0.42513815983546577,0.8606289001505081
religion,971902.397216239,265.22606282606193,2410,non-fiction,0.6260276023879463,0.8117332280047096
skills & hobbies,913636.3833983988,260.77830780330754,2295,non-fiction,0.4694083407351668,0.707916428277132
popular lore,827298.639753781,263.91099178599177,2256,non-fiction,0.23733216499639198,0.7810376375110692
belles lettres,948168.5408124946,263.5388195138189,2403,non-fiction,0.5622309081821486,0.7723506180941593
miscellaneous,863483.173212439,246.39977799977743,2207,neither,0.33459632539121387,0.37230150763663516
learned,842569.1577530246,231.37843986079253,2205,non-fiction,0.2783793741220095,0.0216825447582627
general fiction,917557.8900258496,230.44950882450823,2296,fiction,0.479949365121664,0.0
mistery and detective fiction,866731.5026959036,245.56009546009463,2288,fiction,0.34332784711321995,0.35270214714779957
science fiction,1102841.6209263606,248.0798007548002,2461,fiction,0.9779927222772393,0.4115155796805494
adventure and western fiction,976789.2077744814,253.20416527916453,2349,fiction,0.6391633673273796,0.5311253879625673
romance and love story,1111028.8409040042,248.49708902208823,2422,fiction,1.0,0.42125566928802094
